ID,center_1,spread_1,center_2,spread_2,action,p,perr,F,F_micro,exp,num,as,ts,creator
298763-1907562387-GA,0.6589335720386431,0.03649330143763463,0.3882825734702867,0.14067135005490614,beige,128.0,266.66666666666663,0.0016359122768411483,0.0016359122768411483,11.0,1.0,157.472,299894.0,GA
298774-1850457003-GA,0.7516507148251645,0.06159059075732298,0.5275117784316089,0.21260796022363715,blue,1000.0,2.4358360622181717E-20,0.011685421578902296,0.011685421578902296,78.0,1.0,116.46680762702769,299863.0,GA
298775-154634659-GA,0.5738582236150185,0.020888761598523986,0.8158068227078058,0.09443104634856792,red,1000.0,0.0,0.022447883215980048,0.022447883215980048,14.0,1.0,93.54899200000001,299651.0,GA
298776-1109703931-GA,0.7309184997840461,0.24224286553051774,0.6002881540244157,0.023021358616522436,red,500.0,825.0,0.004638661723335334,0.004638661723335334,6.0,1.0,148.4,299940.0,GA
298797-1491956470-GA,0.12772297183419765,0.12772297183419765,0.6650393477205883,0.02066447618552708,beige,0.0,0.0,0.007183995360221216,0.007183995360221216,0.0,1.0,135.45382112899128,298797.0,GA
298797-2040522105-GA,0.11778587395001883,0.08924838361642513,0.686240132839804,0.04817853939147171,beige,1000.0,136.53333333333336,0.0015065930237796298,0.0015065930237796298,8.0,1.0,53.06453333333333,299193.0,GA
298801-2128786028-GA,0.15490188118491013,0.15490188118491013,0.3754956647476997,0.06294784441539411,beige,733.1476003726295,414.735154244915,9.692595757296864E-5,9.692595757296864E-5,29.0,1.0,105.59055326337185,299908.0,GA
298801-1500254230-GA,0.15490188118491013,0.15490188118491013,0.37566210443050696,0.0034328347982613694,beige,0.0,0.0,0.016419895900329835,0.016419895900329835,0.0,1.0,125.98019296399998,298801.0,GA
298802-642010002-GA,0.3027741179163871,0.12269805071578073,0.24349652611123787,0.012091345082844401,brown,897.6,238.93333333333334,0.06959673883067936,0.06959673883067936,8.0,1.0,41.617599999999996,298802.0,GA
298802-1538575591-GA,0.2368614645283294,0.0960129923982291,0.20692090720579204,0.02058104973818141,brown,1000.0,2.2737367544323207E-14,0.1023397963386058,0.1023397963386058,5.0,1.0,46.6,298802.0,GA
